Going Postal,Terry Pratchett,4.38,Fiction,http://books.google.com/books/content?id=5xRh5kkS84UC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Modern Mind,Peter Watson,4.27,Science,http://books.google.com/books/content?id=JVdMSavwwHoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
She Went All the Way,Meg Cabot,3.69,Fiction,http://books.google.com/books/content?id=3ANI1Q2Z-qsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Island,Aldous Huxley,3.85,Fiction,http://books.google.com/books/content?id=MB3VSMgJ5CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Year in the Life of William Shakespeare,James Shapiro,4.09,Biography & autobiography,http://books.google.com/books/content?id=86bOlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Lucy Sullivan Is Getting Married,Marian Keyes,3.76,Fiction,http://books.google.com/books/content?id=qLl-3FGhPl0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Terminal Man,Michael Crichton,3.36,Fiction,http://books.google.com/books/content?id=9hERBFsuOcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Art of the Novel,Milan Kundera,3.96,Literary criticism,http://books.google.com/books/content?id=H_3jAacr_U4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Bromeliad Trilogy,Terry Pratchett,4.06,Juvenile fiction,http://books.google.com/books/content?id=IsFpvCusQsIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Merry Christmas  Amelia Bedelia,Peggy Parish,4.29,Juvenile fiction,http://books.google.com/books/content?id=SYCULYl-p-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Identity,Milan Kundera,3.68,Fiction,http://books.google.com/books/content?id=D30ExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The thief of always,Clive Barker,4.19,Fiction,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Illustrated Alchemist,Paulo Coelho,3.85,Fiction,http://books.google.com/books/content?id=1YX2usKBAMIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Mars and Venus Book of Days,John Gray,3.54,Family & relationships,http://books.google.com/books/content?id=kd6YGT74stsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,4.25,Juvenile fiction,http://books.google.com/books/content?id=D-iftWFTCcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,4.15,Juvenile fiction,http://books.google.com/books/content?id=s_2GIF_c0T8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Missing Piece Meets the Big O,Shel Silverstein,4.33,Juvenile fiction,http://books.google.com/books/content?id=-m4gwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
